Phone Model,Carrier,Condition,Color,Size,Recently Sold Price,Date
apple-iphone-x-a1865,att,Good,Gray,64,685,"Oct04,2018-03:23AM"
apple-iphone-se,verizon,Mint,Grey,128,259,"Oct03,2018-09:40PM"
apple-iphone-se,verizon,Good,Grey,64,135,"Oct03,2018-09:27PM"
apple-iphone-se,verizon,Mint,Grey,128,259,"Oct03,2018-09:02PM"
apple-iphone-se,verizon,Mint,Grey,128,259,"Oct03,2018-08:58PM"
apple-iphone-8-a1863,verizon,Mint,Silver,64,485,"Oct03,2018-10:11PM"
apple-iphone-8-a1863,verizon,Mint,Gray,64,499,"Oct03,2018-08:11PM"
apple-iphone-6s,verizon,Good,Gold,32,203,"Oct04,2018-11:02AM"
apple-iphone-6s,verizon,Good,Gold,64,200,"Oct04,2018-10:49AM"
apple-iphone-6s,verizon,Good,Rose Gold,64,194,"Oct04,2018-10:40AM"
apple-iphone-6s,verizon,Good,Grey,64,210,"Oct04,2018-10:38AM"
apple-iphone-6s,att,Good,Rose Gold,32,189,"Oct03,2018-09:05PM"
apple-iphone-6s,att,Good,Grey,128,230,"Oct03,2018-07:34PM"
apple-iphone-7-plus-a1661,att,Good,Rose Gold,128,365,"Oct08,2018-02:39PM"
apple-iphone-7-plus-a1661,att,Good,Rose Gold,32,415,"Oct08,2018-12:09PM"
apple-iphone-7-plus-a1661,att,Fair,Black,32,370,"Oct07,2018-06:55PM"
apple-iphone-7-plus-a1661,att,Good,Black,128,385,"Oct07,2018-08:47AM"
apple-iphone-7-plus-a1661,att,Mint,Black,128,450,"Oct06,2018-05:53PM"
apple-iphone-7-a1660,att,Fair,Rose Gold,32,270,"Oct07,2018-03:31PM"
apple-iphone-7-a1660,att,Good,Black,32,260,"Oct06,2018-12:55PM"
apple-iphone-7-a1660,att,Good,Silver,32,310,"Oct05,2018-06:19PM"
apple-iphone-7-a1660,att,Good,Black,32,295,"Oct04,2018-03:26PM"
apple-iphone-7-a1660,att,Good,Rose Gold,128,316,"Oct03,2018-08:22PM"
